ID,Region,Households,Period,MixedIncomeNet_1,TotalCompensationOfEmployees_2,WagesAndSalaries_3,EmployersSocialContributions_4,TotalPropertyIncome_5,TotalPropertyIncome_6,PrimaryIncomeNet_7,PrimaryIncomeNet_8,ImputedSocialContributions_9,TotalSocialBenefits_10,SocialSecurityBenefits_11,SocialAssistanceBenefits_12,PensionBenefits_13,OtherPrivateSocialBenefits_14,UnfundedEmployeeSocialBenefits_15,TotalOtherCurrentTransfers_16,NonLifeInsuranceClaims_17,OtherCurrentTransfersNEC_18,TotalCurrentTaxesOnIncomeAndWealth_19,CurrentTaxesOnIncome_20,CurrentTaxesOnWealth_21,TotalSocialContributions_22,SocialSecurityContributions_23,ContributionsToPensionSchemes_24,OtherPrivateSocialContributions_25,ImputedSocialContributions_26,UnfundedEmplSocialBenefits_27,TotalOtherCurrentTransfers_28,NonLifeInsurancePremiums_29,OtherCurrentTransfersNEC_30,DisposableIncomeNet_31,MixedIncomeNet_32,TotalCompensationOfEmployees_33,WagesAndSalaries_34,EmployersSocialContributions_35,TotalPropertyIncome_36,TotalPropertyIncome_37,PrimaryIncomeNet_38,PrimaryIncomeNet_39,ImputedSocialContributions_40,TotalSocialBenefits_41,SocialSecurityBenefits_42,SocialAssistanceBenefits_43,PensionBenefits_44,OtherPrivateSocialBenefits_45,UnfundedEmployeeSocialBenefits_46,TotalOtherCurrentTransfers_47,NonLifeInsuranceClaims_48,OtherCurrentTransfersNEC_49,TotalCurrentTaxesOnIncomeAndWealth_50,CurrentTaxesOnIncome_51,CurrentTaxesOnWealth_52,TotalSocialContributions_53,SocialSecurityContributions_54,ContributionsToPensionSchemes_55,OtherPrivateSocialContributions_56,ImputedSocialContributions_57,UnfundedEmplSocialBenefits_58,TotalOtherCurrentTransfers_59,NonLifeInsurancePremiums_60,OtherCurrentTransfersNEC_61,DisposableIncomeNet_62,MixedIncomeNet_63,TotalCompensationOfEmployees_64,WagesAndSalaries_65,EmployersSocialContributions_66,TotalPropertyIncome_67,TotalPropertyIncome_68,PrimaryIncomeNet_69,PrimaryIncomeNet_70,ImputedSocialContributions_71,TotalSocialBenefits_72,SocialSecurityBenefits_73,SocialAssistanceBenefits_74,PensionBenefits_75,OtherPrivateSocialBenefits_76,UnfundedEmployeeSocialBenefits_77,TotalOtherCurrentTransfers_78,NonLifeInsuranceClaims_79,OtherCurrentTransfersNEC_80,TotalCurrentTaxesOnIncomeAndWealth_81,CurrentTaxesOnIncome_82,CurrentTaxesOnWealth_83,TotalSocialContributions_84,SocialSecurityContributions_85,ContributionsToPensionSchemes_86,OtherPrivateSocialContributions_87,ImputedSocialContributions_88,UnfundedEmplSocialBenefits_89,TotalOtherCurrentTransfers_90,NonLifeInsurancePremiums_91,OtherCurrentTransfersNEC_92,DisposableIncomeNet_93
0,Netherlands,"Households, total",1995,30971.0,153616.0,131358.0,22258.0,36845.0,14982.0,206450.0,206450.0,64.0,64295.0,32060.0,10278.0,12663.0,1666.0,7627.0,8370.0,7200.0,1169.0,27545.0,23584.0,3962.0,85735.0,48443.0,28197.0,1601.0,7494.0,64.0,9877.0,7200.0,2677.0,155956.0,2003.0,9937.0,8497.0,1440.0,2383.0,969.0,13355.0,13355.0,4.0,4159.0,2074.0,665.0,819.0,108.0,493.0,541.0,466.0,76.0,1782.0,1526.0,256.0,5546.0,3134.0,1824.0,104.0,485.0,4.0,639.0,466.0,173.0,10088.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Netherlands,"Households, total",1996,31536.0,159336.0,136393.0,22943.0,38038.0,14872.0,214039.0,214039.0,262.0,65952.0,32309.0,10110.0,13815.0,1603.0,8115.0,8634.0,7307.0,1327.0,27602.0,23092.0,4510.0,87283.0,48723.0,29081.0,1544.0,7936.0,262.0,10178.0,7307.0,2871.0,163562.0,2031.0,10260.0,8783.0,1477.0,2449.0,958.0,13782.0,13782.0,17.0,4247.0,2080.0,651.0,890.0,103.0,523.0,556.0,471.0,85.0,1777.0,1487.0,290.0,5620.0,3137.0,1873.0,99.0,511.0,17.0,655.0,471.0,185.0,10532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Netherlands,"Households, total",1997,33451.0,167958.0,144560.0,23397.0,40888.0,16389.0,225908.0,225908.0,329.0,66502.0,32305.0,9671.0,14468.0,1319.0,8741.0,9535.0,8062.0,1473.0,26037.0,21653.0,4384.0,92082.0,51653.0,30560.0,1294.0,8575.0,329.0,11208.0,8062.0,3146.0,172620.0,2143.0,10759.0,9260.0,1499.0,2619.0,1050.0,14471.0,14471.0,21.0,4260.0,2069.0,619.0,927.0,84.0,560.0,611.0,516.0,94.0,1668.0,1387.0,281.0,5899.0,3309.0,1958.0,83.0,549.0,21.0,718.0,516.0,202.0,11058.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Netherlands,"Households, total",1998,34958.0,179863.0,145284.0,34579.0,43601.0,18009.0,240414.0,240414.0,362.0,67220.0,31373.0,10602.0,15460.0,977.0,8808.0,10567.0,8669.0,1898.0,26871.0,22196.0,4675.0,97522.0,54256.0,33490.0,967.0,8808.0,362.0,11849.0,8669.0,3180.0,181959.0,2226.0,11451.0,9249.0,2201.0,2776.0,1147.0,15306.0,15306.0,23.0,4280.0,1997.0,675.0,984.0,62.0,561.0,673.0,552.0,121.0,1711.0,1413.0,298.0,6209.0,3454.0,2132.0,62.0,561.0,23.0,754.0,552.0,202.0,11584.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Netherlands,"Households, total",1999,35720.0,192081.0,155591.0,36490.0,45548.0,20933.0,252416.0,252416.0,398.0,70107.0,32175.0,10013.0,17198.0,1057.0,9665.0,11809.0,9521.0,2288.0,28313.0,23382.0,4931.0,105206.0,59938.0,34754.0,1049.0,9465.0,398.0,12811.0,9521.0,3290.0,188002.0,2259.0,12148.0,9840.0,2308.0,2881.0,1324.0,15963.0,15963.0,25.0,4434.0,2035.0,633.0,1088.0,67.0,611.0,747.0,602.0,145.0,1791.0,1479.0,312.0,6654.0,3791.0,2198.0,66.0,599.0,25.0,810.0,602.0,208.0,11890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Netherlands,"Households, total",2000,37213.0,205344.0,165873.0,39471.0,46927.0,24483.0,265001.0,265001.0,384.0,72539.0,32795.0,10050.0,19051.0,1098.0,9544.0,12985.0,10251.0,2734.0,30427.0,25143.0,5284.0,110780.0,64467.0,35875.0,1090.0,9347.0,384.0,13806.0,10251.0,3555.0,195512.0,2337.0,12894.0,10416.0,2478.0,2947.0,1537.0,16640.0,16640.0,24.0,4555.0,2059.0,631.0,1196.0,69.0,599.0,815.0,644.0,172.0,1911.0,1579.0,332.0,6956.0,4048.0,2253.0,68.0,587.0,24.0,867.0,644.0,223.0,12277.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Netherlands,"Households, total",2001,39515.0,220037.0,177204.0,42833.0,46875.0,24831.0,281596.0,281596.0,406.0,76657.0,34689.0,10454.0,20254.0,1141.0,10118.0,14180.0,11128.0,3052.0,32428.0,27793.0,4635.0,109755.0,61270.0,37435.0,1142.0,9908.0,406.0,15341.0,11128.0,4213.0,214908.0,2463.0,13713.0,11043.0,2669.0,2921.0,1547.0,17549.0,17549.0,25.0,4777.0,2162.0,652.0,1262.0,71.0,631.0,884.0,693.0,190.0,2021.0,1732.0,289.0,6840.0,3818.0,2333.0,71.0,617.0,25.0,956.0,693.0,263.0,13393.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Netherlands,"Wages and salaries, total",1995,9716.0,144039.0,122476.0,21563.0,19777.0,9535.0,163998.0,163998.0,6.0,17967.0,7164.0,3715.0,664.0,1003.0,5421.0,4460.0,3802.0,658.0,17373.0,15204.0,2169.0,66909.0,37847.0,20299.0,1531.0,7232.0,6.0,5524.0,3802.0,1721.0,96619.0,1014.0,15027.0,12778.0,2250.0,2063.0,995.0,17110.0,17110.0,1.0,1874.0,747.0,388.0,69.0,105.0,566.0,465.0,397.0,69.0,1813.0,1586.0,226.0,6980.0,3949.0,2118.0,160.0,754.0,1.0,576.0,397.0,180.0,10080.0,2720.0,40323.0,34286.0,6036.0,5537.0,2669.0,45910.0,45910.0,2.0,5030.0,2006.0,1040.0,186.0,281.0,1518.0,1249.0,1064.0,184.0,4864.0,4256.0,607.0,18731.0,10595.0,5683.0,429.0,2024.0,2.0,1546.0,1064.0,482.0,27048.0
8,Netherlands,"Wages and salaries, total",1996,9842.0,148278.0,126547.0,21731.0,20511.0,9719.0,168912.0,168912.0,22.0,19080.0,6888.0,3679.0,1111.0,1025.0,6377.0,4729.0,3911.0,818.0,16844.0,14363.0,2481.0,67078.0,37788.0,20177.0,1490.0,7622.0,22.0,5658.0,3911.0,1748.0,103141.0,1014.0,15270.0,13032.0,2238.0,2112.0,1001.0,17395.0,17395.0,2.0,1965.0,709.0,379.0,114.0,106.0,657.0,487.0,403.0,84.0,1735.0,1479.0,255.0,6908.0,3891.0,2078.0,153.0,785.0,2.0,583.0,403.0,180.0,10622.0,2687.0,40477.0,34545.0,5932.0,5599.0,2653.0,46110.0,46110.0,6.0,5209.0,1880.0,1004.0,303.0,280.0,1741.0,1291.0,1068.0,223.0,4598.0,3921.0,677.0,18311.0,10316.0,5508.0,407.0,2081.0,6.0,1545.0,1068.0,477.0,28156.0
9,Netherlands,"Wages and salaries, total",1997,10571.0,156395.0,134190.0,22205.0,21571.0,11010.0,177526.0,177526.0,30.0,18754.0,6227.0,3550.0,1116.0,937.0,6924.0,5284.0,4373.0,911.0,15676.0,13266.0,2411.0,70755.0,39876.0,21398.0,1241.0,8239.0,30.0,6296.0,4373.0,1923.0,108837.0,1076.0,15917.0,13657.0,2260.0,2195.0,1121.0,18068.0,18068.0,3.0,1909.0,634.0,361.0,114.0,95.0,705.0,538.0,445.0,93.0,1595.0,1350.0,245.0,7201.0,4058.0,2178.0,126.0,839.0,3.0,641.0,445.0,196.0,11077.0,2820.0,41716.0,35793.0,5923.0,5754.0,2937.0,47352.0,47352.0,8.0,5002.0,1661.0,947.0,298.0,250.0,1847.0,1409.0,1166.0,243.0,4181.0,3538.0,643.0,18873.0,10636.0,5708.0,331.0,2198.0,8.0,1679.0,1166.0,513.0,29030.0
10,Netherlands,"Wages and salaries, total",1998,10793.0,167997.0,135371.0,32626.0,23560.0,11903.0,190448.0,190448.0,24.0,19528.0,6750.0,3535.0,1136.0,921.0,7187.0,5941.0,4756.0,1186.0,16543.0,13940.0,2603.0,76020.0,42974.0,23627.0,919.0,8499.0,24.0,6701.0,4756.0,1946.0,116653.0,1095.0,17038.0,13729.0,3309.0,2389.0,1207.0,19315.0,19315.0,2.0,1980.0,685.0,358.0,115.0,93.0,729.0,603.0,482.0,120.0,1678.0,1414.0,264.0,7710.0,4358.0,2396.0,93.0,862.0,2.0,680.0,482.0,197.0,11831.0,2802.0,43607.0,35138.0,8469.0,6115.0,3090.0,49434.0,49434.0,6.0,5069.0,1752.0,917.0,295.0,239.0,1865.0,1542.0,1234.0,308.0,4294.0,3618.0,676.0,19732.0,11155.0,6133.0,239.0,2206.0,6.0,1739.0,1234.0,505.0,30279.0
11,Netherlands,"Wages and salaries, total",1999,11203.0,178846.0,144382.0,34464.0,25666.0,14432.0,201284.0,201284.0,28.0,20471.0,6853.0,3459.0,1315.0,993.0,7851.0,6690.0,5301.0,1389.0,21296.0,18299.0,2997.0,82087.0,47401.0,24550.0,1003.0,9133.0,28.0,7367.0,5301.0,2067.0,117695.0,1111.0,17729.0,14313.0,3416.0,2544.0,1431.0,19954.0,19954.0,3.0,2029.0,679.0,343.0,130.0,98.0,778.0,663.0,525.0,138.0,2111.0,1814.0,297.0,8137.0,4699.0,2434.0,99.0,905.0,3.0,730.0,525.0,205.0,11667.0,2862.0,45694.0,36889.0,8805.0,6558.0,3687.0,51427.0,51427.0,7.0,5230.0,1751.0,884.0,336.0,254.0,2006.0,1709.0,1354.0,355.0,5441.0,4675.0,766.0,20973.0,12111.0,6272.0,256.0,2333.0,7.0,1882.0,1354.0,528.0,30070.0
12,Netherlands,"Wages and salaries, total",2000,11780.0,191680.0,154533.0,37147.0,26671.0,16960.0,213172.0,213172.0,31.0,20318.0,6499.0,3580.0,1516.0,1033.0,7690.0,7412.0,5758.0,1654.0,23134.0,19887.0,3247.0,87379.0,50860.0,26478.0,1039.0,9001.0,31.0,7974.0,5758.0,2216.0,122414.0,1154.0,18780.0,15141.0,3640.0,2613.0,1662.0,20886.0,20886.0,3.0,1991.0,637.0,351.0,148.0,101.0,753.0,726.0,564.0,162.0,2267.0,1949.0,318.0,8561.0,4983.0,2594.0,102.0,882.0,3.0,781.0,564.0,217.0,11994.0,2966.0,48259.0,38907.0,9353.0,6715.0,4270.0,53670.0,53670.0,8.0,5115.0,1636.0,901.0,382.0,260.0,1936.0,1866.0,1450.0,416.0,5825.0,5007.0,817.0,21999.0,12805.0,6666.0,262.0,2266.0,8.0,2008.0,1450.0,558.0,30820.0
13,Netherlands,"Wages and salaries, total",2001,12496.0,205570.0,164156.0,41414.0,27503.0,16969.0,228600.0,228600.0,34.0,21225.0,6601.0,3774.0,1662.0,1064.0,8124.0,7530.0,6231.0,1299.0,23731.0,20682.0,3049.0,89033.0,48323.0,30131.0,1083.0,9495.0,34.0,8870.0,6231.0,2638.0,135722.0,1216.0,20009.0,15978.0,4031.0,2677.0,1652.0,22250.0,22250.0,3.0,2066.0,642.0,367.0,162.0,104.0,791.0,733.0,607.0,126.0,2310.0,2013.0,297.0,8666.0,4703.0,2933.0,105.0,924.0,3.0,863.0,607.0,257.0,13210.0,3134.0,51552.0,41166.0,10386.0,6897.0,4255.0,57328.0,57328.0,9.0,5323.0,1655.0,946.0,417.0,267.0,2037.0,1888.0,1563.0,326.0,5951.0,5187.0,765.0,22327.0,12118.0,7556.0,272.0,2381.0,9.0,2224.0,1563.0,662.0,34036.0
14,Netherlands,"Wages and salaries, single person",1995,702.0,18092.0,15671.0,2421.0,2083.0,865.0,20012.0,20012.0,0.0,1505.0,603.0,273.0,27.0,114.0,488.0,908.0,818.0,90.0,1925.0,1653.0,271.0,8046.0,5130.0,2028.0,198.0,689.0,0.0,1042.0,818.0,224.0,11412.0,913.0,23547.0,20395.0,3152.0,2711.0,1126.0,26045.0,26045.0,0.0,1958.0,784.0,355.0,35.0,148.0,636.0,1181.0,1064.0,117.0,2505.0,2152.0,353.0,10472.0,6677.0,2639.0,258.0,897.0,0.0,1356.0,1064.0,292.0,14852.0,913.0,23547.0,20395.0,3152.0,2711.0,1126.0,26045.0,26045.0,0.0,1958.0,784.0,355.0,35.0,148.0,636.0,1181.0,1064.0,117.0,2505.0,2152.0,353.0,10472.0,6677.0,2639.0,258.0,897.0,0.0,1356.0,1064.0,292.0,14852.0
15,Netherlands,"Wages and salaries, single person",1996,731.0,19488.0,16833.0,2655.0,2542.0,870.0,21891.0,21891.0,1.0,1599.0,535.0,311.0,73.0,124.0,556.0,1009.0,880.0,129.0,1982.0,1645.0,337.0,8798.0,5320.0,2602.0,196.0,679.0,1.0,1069.0,880.0,189.0,12651.0,887.0,23639.0,20418.0,3221.0,3084.0,1055.0,26554.0,26554.0,1.0,1939.0,649.0,377.0,88.0,151.0,674.0,1224.0,1068.0,157.0,2404.0,1996.0,408.0,10672.0,6454.0,3156.0,238.0,824.0,1.0,1297.0,1068.0,229.0,15345.0,887.0,23639.0,20418.0,3221.0,3084.0,1055.0,26554.0,26554.0,1.0,1939.0,649.0,377.0,88.0,151.0,674.0,1224.0,1068.0,157.0,2404.0,1996.0,408.0,10672.0,6454.0,3156.0,238.0,824.0,1.0,1297.0,1068.0,229.0,15345.0
16,Netherlands,"Wages and salaries, single person",1997,786.0,21401.0,18648.0,2753.0,2827.0,1067.0,23947.0,23947.0,0.0,1589.0,485.0,292.0,69.0,121.0,623.0,1193.0,1039.0,154.0,1849.0,1509.0,340.0,9613.0,5838.0,2877.0,162.0,737.0,0.0,1268.0,1039.0,229.0,13998.0,883.0,24022.0,20932.0,3090.0,3173.0,1198.0,26880.0,26880.0,0.0,1784.0,544.0,328.0,77.0,135.0,699.0,1339.0,1166.0,172.0,2076.0,1694.0,382.0,10790.0,6553.0,3229.0,182.0,827.0,0.0,1424.0,1166.0,257.0,15713.0,883.0,24022.0,20932.0,3090.0,3173.0,1198.0,26880.0,26880.0,0.0,1784.0,544.0,328.0,77.0,135.0,699.0,1339.0,1166.0,172.0,2076.0,1694.0,382.0,10790.0,6553.0,3229.0,182.0,827.0,0.0,1424.0,1166.0,257.0,15713.0
17,Netherlands,"Wages and salaries, single person",1998,966.0,25524.0,20800.0,4724.0,3415.0,1214.0,28691.0,28691.0,1.0,1836.0,575.0,310.0,87.0,133.0,732.0,1401.0,1207.0,195.0,2247.0,1857.0,390.0,11537.0,7041.0,3520.0,127.0,849.0,1.0,1448.0,1207.0,241.0,16696.0,988.0,26112.0,21279.0,4833.0,3494.0,1242.0,29351.0,29351.0,1.0,1879.0,588.0,317.0,89.0,136.0,749.0,1434.0,1234.0,199.0,2298.0,1899.0,399.0,11803.0,7203.0,3601.0,130.0,869.0,1.0,1481.0,1234.0,247.0,17081.0,988.0,26112.0,21279.0,4833.0,3494.0,1242.0,29351.0,29351.0,1.0,1879.0,588.0,317.0,89.0,136.0,749.0,1434.0,1234.0,199.0,2298.0,1899.0,399.0,11803.0,7203.0,3601.0,130.0,869.0,1.0,1481.0,1234.0,247.0,17081.0
